Maligant,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Busyness,Coarseness,Complexity,Contrast,Strength
0,70.0850805,2956.947435,-150.3562305,34.84613705,2.671233386,0.850016438,0.441985266,0.884682001,2.467273093,0.884862801,0.881375695,0.98830219,0.973907914,-0.733719086,0.989204589,0.172704444,7.870410496,0.147748828,3.322328838,1,0.254959748,15.74082099,3.031512982,9.379342608,57.57588197,0.154801851,10.08424402,69.98823934,1.426621779,98.67373695,0.078162192,0.057854365,3.353118123,306.9968457,0.8240323,0.898550725,0.183188203,0.925854143,64.72374432,0.05432365,37.96183206,0.144892489,10.50824544,71.01526718,3.923664122,261.7709924,0.211958392,0.060757261,133.6335878,0.510051862,0.741552596,53.04888869,0.047423252,4.232790636,0.632850242,1.426781656,4.371291924,144.2173913,0.348351187,0.698802773,65.34299517,9.9585988,69.92753623,3.980676329,278.9855072,0.195935832,0.056893069,0.542698604,38.55733696,0.033791732,0.138409793,0.087736649,12.97573492,0.058176463,4.604922654
0,57.65599475,1467.608264,-60.16630381,20.57495523,2.529299991,0.774576423,0.436718246,0.911594443,2.337875773,0.88117429,0.87813262,0.98883525,0.973842406,-0.705456659,0.986083296,0.185092184,7.277497007,0.18754995,3.347232364,0.992898814,0.375928894,14.55499401,3.046979513,5.776063804,127.3115058,0.240046559,5.541262315,59.33555234,1.416769637,80.78651696,0.068718315,0.049851585,3.071835312,434.9249484,0.819290262,0.896114865,0.170011234,0.923665434,54.93582549,0.047259232,83.92857143,0.230572998,5.772755404,60.99725275,3.978021978,218.1456044,0.183092039,0.054393726,171.2582418,0.470489675,0.709777651,43.81172472,0.0446564,4.062957382,0.614864865,1.332930805,4.116783153,208.847973,0.352783738,0.664033966,143.9831081,5.470322201,58.89358108,4.016891892,223.0929054,0.167608172,0.04872823,0.518000657,31.58128378,0.030646289,0.126074475,0.078833478,13.20128106,0.025705138,2.736155273
0,67.69821583,2464.34664,-114.0137286,28.72324029,3.026864104,0.813622765,0.486992292,0.902456231,2.758418878,0.875050598,0.872521365,0.98679899,0.971527189,-0.714755725,0.991853441,0.195417299,7.820607074,0.115057475,3.757492351,0.997937471,0.221241646,15.64121415,3.459454254,7.937526099,108.7698814,0.143462539,8.289120275,70.60270063,1.407923982,98.60077415,0.076035521,0.057102404,3.570698079,616.1940709,0.812466922,0.893109541,0.153617383,0.920614103,65.10383606,0.053898494,70.65703276,0.136140718,8.677447737,71.8477842,4.163776493,281.017341,0.196363467,0.061809681,252.938343,0.487357116,0.725650511,52.46213328,0.048410168,4.568442084,0.61130742,1.487810039,4.685938037,287.958775,0.339174058,0.755218153,123.3745583,8.164419861,70.40518257,4.196702002,289.6654888,0.187774293,0.055642784,0.524269075,37.56496401,0.033576958,0.287354022,0.032387789,21.86087235,0.044597795,1.725897799
0,68.85042012,1266.966902,-68.16138725,16.32038899,2.782108884,0.711061606,0.488324442,0.943767387,2.520119965,0.870027701,0.867093151,0.987232967,0.970801518,-0.661856188,0.984070263,0.202234987,8.090555066,0.138728238,3.554452412,0.981684219,0.262427235,16.18111013,3.261560107,4.77562447,166.9911068,0.170474507,5.306493093,70.43295944,1.575141608,108.1916378,0.05039626,0.036705614,3.295101746,804.5874684,0.81936913,0.88745471,0.298370914,0.92303297,65.02653927,0.034815944,102.0619195,0.157990587,6.177409924,70.92260062,5.235294118,345.0232198,0.147828828,0.042997731,313.1671827,0.484778921,0.723908294,50.60163726,0.036576179,4.377469992,0.585144928,2.314687191,4.415531384,362.7862319,0.328610717,0.75637668,191.817029,5.1062925,70.25634058,4.367753623,298.9791667,0.120051353,0.035336741,0.506439966,35.50308801,0.023387456,0.325941379,0.027791005,21.79842303,0.026840553,1.221478034
0,58.31896564,1753.956442,-68.74390294,26.19798491,4.314449473,0.733694995,0.628591319,1.000134914,3.735084064,0.858739438,0.854459074,0.98136628,0.96470374,-0.707368309,0.990416284,0.198686973,7.267922348,0.140213745,3.773170374,0.988310865,0.289479372,14.5358447,3.429379266,7.628108597,130.8676862,0.170899778,7.179170247,58.79695573,1.820507369,102.5712466,0.078157126,0.053097169,3.393757721,638.2062143,0.833882182,0.894152047,0.563753282,0.930436725,54.66314022,0.050325539,80,0.152091255,7.869309228,59.32129278,6.036121673,325.0684411,0.223983572,0.059361533,271.5437262,0.516242826,0.746379515,44.14687652,0.049296395,4.339458597,0.615204678,3.39395177,4.51662041,289.2923977,0.338353681,0.751963339,149.7719298,7.010438767,58.71578947,4.162573099,241.9695906,0.173757919,0.051542991,0.534024042,31.54739246,0.033334207,0.260022287,0.045329193,16.99613806,0.046291506,1.445468645
0,63.30024602,1342.617624,-68.28122954,18.4642706,2.362570077,0.757157135,0.434213881,0.891135949,2.170820732,0.875351296,0.873253692,0.989346596,0.973511756,-0.659334858,0.978930123,0.205332804,7.688134376,0.156864855,3.367670407,0.991883773,0.328393959,15.37626875,3.109152766,5.206710168,152.3274585,0.204509362,4.847761916,65.0538808,1.410346442,89.48021618,0.054069857,0.035372858,3.122901741,608.0976786,0.81615295,0.895432692,0.162665917,0.92248011,60.00606982,0.032954681,102.3359073,0.197559667,4.690556939,65.97104247,4.177606178,254.1447876,0.16119249,0.033776098,264.7297297,0.511061254,0.742892411,48.88923339,0.024376264,4.035566907,0.622596154,1.597799675,4.254483883,284.0168269,0.341366379,0.773761095,172.8581731,4.840732191,64.84735577,4.146634615,261.609375,0.145649651,0.035467849,0.53868523,35.31856404,0.018159381,0.239358425,0.041400175,14.90465589,0.023438481,1.912202295
0,42.80987234,599.342857,3.611511532,13.82846208,1.787879497,0.762052798,0.268041115,0.593012563,1.705820007,0.936326208,0.934681472,0.992322404,0.98473254,-0.834614196,0.993460572,0.094185695,6.303124997,0.211988371,3.080025075,0.998556348,0.380245137,12.60624999,2.912536527,3.904085393,227.007963,0.229387533,4.186749651,44.62088733,1.842123673,85.75924286,0.073160139,0.046459388,3.290574987,783.6319107,0.790331101,0.86173913,0.49073152,0.909507338,40.81839171,0.043211761,125.495637,0.219015073,4.727398433,43.84991274,9.144851658,428.3106457,0.30267089,0.05504933,247.1640489,0.431350871,0.682286694,29.90826967,0.042637996,4.489907031,0.49826087,5.116879715,4.490900113,341.6730435,0.297106994,0.905267297,265.5513043,4.069280907,44.62956522,5.340869565,236.4052174,0.193671287,0.044843993,0.43257029,19.12939203,0.024540416,0.117955305,0.092594456,10.02913862,0.013774257,1.494945917
0,48.43431521,1771.473891,-26.57213391,27.82369597,1.737471169,0.888447849,0.285793368,0.636463185,1.633798217,0.92641345,0.92483749,0.992297142,0.983204985,-0.81300006,0.990645474,0.114227097,6.470594046,0.246549617,2.960203338,1,0.458259609,12.94118809,2.801368419,7.390291785,124.5232234,0.218979673,7.917143282,49.7703403,1.532149245,75.65371109,0.085475038,0.059382574,3.274728216,451.188756,0.793099609,0.879643963,0.236301188,0.911138954,45.56830091,0.054220668,70.59893048,0.188767194,8.645714776,50.86096257,5.069518717,243.868984,0.26807025,0.061289416,172.8235294,0.462094998,0.704642376,36.53717265,0.043995523,4.353438191,0.578947368,2.086047642,4.376496751,203.6811146,0.315295843,0.874780742,147.9907121,7.716332467,49.5247678,4.72755418,226.0139319,0.266084282,0.058882,0.489189026,25.0071904,0.030173094,0.135353516,0.091564102,11.25907011,0.032069944,3.083654229
1,55.68201071,944.4073445,-36.71112911,17.49148804,2.288920659,0.777808722,0.399752228,0.828041581,2.095511956,0.897744697,0.892501917,0.989503311,0.97616556,-0.782199029,0.986258405,0.135510921,7.195464455,0.288896371,2.907185837,1,0.484211463,14.39092891,2.634740102,4.945102174,137.0823414,0.280703595,5.515564195,55.73649429,2.249532595,122.7852019,0.073445735,0.045503693,2.963582726,413.2159642,0.847295651,0.889142336,0.976266697,0.936443545,52.24015293,0.043392246,71.98442368,0.224250541,6.523209208,55.69781931,8.554517134,458.3956386,0.228662261,0.053912508,161.8785047,0.504294407,0.736792103,41.27761548,0.044506398,4.095445018,0.585766423,5.640104424,4.050100696,181.919708,0.33197027,0.746323725,160.1934307,5.296802573,55.81569343,4.306569343,243.8959854,0.133736815,0.043567557,0.510977798,28.56437196,0.028565443,0.054617064,0.158331929,11.13262132,0.017037013,3.627381674
0,36.38500634,1410.650052,-25.166807,25.0101635,2.708133664,0.807453552,0.527902572,1.097780564,2.418206718,0.858055118,0.850975931,0.983059944,0.962886336,-0.670579349,0.986408084,0.191746858,5.548635159,0.171831629,3.606584631,0.996443587,0.380730842,11.09727032,3.228990277,6.929574291,166.9415583,0.177461062,7.728261163,37.89590962,1.332149786,51.07968369,0.19651626,0.160741717,3.336620507,776.7230331,0.825551232,0.905437921,0.112144637,0.927036531,35.03490833,0.152665143,108.8874459,0.157124742,8.322137058,37.4011544,3.253968254,125.3939394,0.427259044,0.17575597,377.049062,0.544082341,0.766232327,28.29683192,0.145227265,4.228921504,0.666987488,1.006132236,4.409781142,377.3214629,0.36315829,0.755913039,192.4879692,7.523699863,38.04427334,3.841193455,150.614052,0.444405736,0.15585561,0.579358357,21.56109026,0.105352266,0.611854395,0.027825202,15.23883763,0.05638819,0.900316892
