Maligant,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Busyness,Coarseness,Complexity,Contrast,Strength
0,69.51869602,911.0793395,-37.98236772,13.05356375,2.907715318,0.571430046,0.422802313,0.788128637,2.714952895,0.903880008,0.90079302,0.987600351,0.976209861,-0.720250612,0.977566639,0.135034527,8.181735279,0.189334008,2.976872816,0.986791687,0.318926272,16.36347056,2.770862167,3.990319767,76.49583141,0.205648893,4.315162219,71.17956869,1.629176322,112.0773351,0.064207819,0.033590553,3.006528383,303.8361569,0.812221007,0.88179669,0.330566661,0.919764846,65.3986541,0.032086097,48.78333333,0.203263889,4.320555556,72.10833333,6.129166667,392.8125,0.238445007,0.035916896,113.4833333,0.472847222,0.714529356,50.85692703,0.030055709,4.025387047,0.567375887,3.022760417,4.183289957,135.822695,0.321093842,0.774821298,86.90070922,4.305160147,71.01891253,4.560283688,318.0543735,0.133723245,0.033006913,0.489353822,34.84916273,0.019265972,0.196692053,0.090489348,8.721860894,0.044951436,2.458373956
0,56.71423419,130.5882724,13.92314137,4.085194094,1.343509639,0.462515101,0.254052234,0.637110579,1.256594607,0.929658219,0.926714217,0.99378068,0.984451695,-0.647392584,0.899802197,0.101102551,7.484129428,0.473537383,1.865238051,0.986683488,0.671787011,14.96825886,1.687113345,1.357175933,233.675812,0.499462643,1.666477866,57.38981663,1.483992762,85.29714762,0.032554273,0.023434351,2.116274309,373.2762214,0.796704622,0.883018868,0.198504582,0.912882563,52.57527841,0.021755095,146.2435897,0.468729454,1.921063445,57.5,5.641025641,316.0320513,0.114231148,0.025679846,151.8782051,0.486789119,0.723926101,41.90513788,0.020339876,3.155535713,0.588679245,2.755382972,3.273657226,169.2,0.319245283,0.890224279,270.5283019,1.591826273,57.2490566,4.637735849,259.7622642,0.092459899,0.022923888,0.504596436,29.18088312,0.013459427,0.084757264,0.104344402,7.416642248,0.005356145,4.032398754
0,69.71043843,1156.639735,-63.23145554,15.42820288,3.820428975,0.621512199,0.595375234,1.035354404,3.379557516,0.857808038,0.852874756,0.983198261,0.965728735,-0.668096239,0.984935196,0.200567555,8.172259608,0.13478531,3.543473598,0.977642138,0.260083633,16.34451922,3.242434311,4.812157964,151.9339216,0.195662508,3.916633152,72.7097484,1.373183297,99.24905262,0.041345947,0.031464939,3.071384001,635.3287106,0.818071722,0.897687861,0.131906317,0.923234469,67.24821485,0.029256793,102.6132597,0.188974696,4.30866647,73.01841621,3.788213628,275.9189687,0.09848148,0.034459564,265.9944751,0.489860912,0.726945267,53.67525913,0.026963923,4.040793234,0.627745665,1.250558761,4.157868423,303.5410405,0.350914498,0.721969996,170.8450867,3.840168399,72.54797688,4.028901734,288.150289,0.114389349,0.031052525,0.534907193,39.37367598,0.018723631,0.272254727,0.034233812,20.16199137,0.024376897,1.446418865
0,67.9756379,257.6522193,-7.983882696,6.702053757,0.947803407,0.762222967,0.250704907,0.736015064,0.876445977,0.908905328,0.907297782,0.995528582,0.983210514,-0.674840108,0.971123119,0.15996538,8.156806409,0.205631308,2.857370695,0.990134854,0.342644899,16.31361282,2.649921484,1.912464291,241.4994709,0.239004101,2.436639178,68.23108062,1.485522668,100.8955522,0.033697331,0.025358249,2.853320077,807.4657032,0.798794859,0.88407699,0.204690643,0.91410877,62.5829304,0.023799318,153.3946981,0.225912663,2.832507304,69.21060383,4.737849779,318.7982327,0.092790079,0.028912335,323.0441826,0.475764628,0.716597195,50.54029549,0.023398818,3.908725576,0.594050744,1.90415603,4.01431986,367.9991251,0.32195899,0.870492457,277.2572178,2.335798795,67.99825022,4.585301837,305.5310586,0.087012605,0.024478334,0.505282152,35.29493803,0.01536986,0.249390312,0.035074978,11.41240719,0.00782439,1.853086924
0,64.16254622,643.0775519,-29.4196869,10.58723337,1.064268134,0.816082382,0.298987134,0.833353389,0.971794126,0.888120984,0.886472141,0.994908069,0.979747955,-0.647557292,0.973362463,0.200178826,7.858715793,0.198465505,3.123910169,0.96932387,0.368270319,15.71743159,2.866672508,2.912875377,194.3233511,0.240215695,3.263112756,66.36843086,1.647666087,104.7064508,0.039825951,0.026625842,2.947727355,655.0318529,0.808586162,0.880991285,0.35253971,0.918182414,61.15427601,0.024925131,106.7964775,0.208995064,3.89479207,68.83757339,5.968688845,360.407045,0.12973131,0.029868076,222.4951076,0.43541117,0.682961123,48.20777714,0.022762861,4.168216452,0.55664488,2.741357455,4.009465167,302.0958606,0.329080458,0.703585041,226.7385621,3.120547178,65.90631808,4.51416122,284.9738562,0.096743381,0.025903575,0.469120976,32.4186795,0.014594725,0.229256851,0.039394774,13.44705464,0.013107864,1.86671803
0,59.97514241,1204.800489,-59.82606466,16.23553492,2.332238184,0.748059228,0.426737026,0.913242657,2.148161015,0.87676031,0.874326398,0.98963388,0.973941133,-0.643439792,0.974961886,0.201234084,7.509780262,0.178709297,3.304477839,0.981243368,0.340115923,15.01956052,3.03129704,4.641943276,204.8139504,0.231788435,4.235903663,63.06006108,1.406201528,84.81739087,0.055221091,0.036694652,2.988226813,722.5051071,0.816925832,0.896551724,0.160659015,0.922821171,58.38085834,0.034530693,135.7941653,0.220087788,4.2561566,65.20745543,3.834683955,219.6790924,0.154859105,0.037914857,300.7763371,0.487481908,0.723382512,48.24266784,0.030052298,3.940418334,0.625760649,1.280903835,4.08253616,342.9918864,0.347861954,0.708610198,231.7302231,4.212438644,62.56592292,4.048681542,239.2048682,0.139255763,0.036353366,0.529785328,34.7455888,0.021265822,0.303329488,0.036059978,13.17843248,0.026511686,1.368240415
0,57.43953685,1875.615728,-51.1182874,25.77523736,3.511336815,0.753862264,0.517819961,0.898052193,3.238276391,0.889841945,0.884870652,0.984313995,0.971025298,-0.740311507,0.987830734,0.137340561,7.198105797,0.237818098,3.235186764,0.995284464,0.452943782,14.39621159,2.950948336,7.321643543,242.6260044,0.250609998,7.182917535,58.6681032,1.464945981,86.48404029,0.074855135,0.055982246,3.193449928,771.1878743,0.795716908,0.882285974,0.17875885,0.912538459,53.46757431,0.052493273,141.3949843,0.221622232,7.754918387,58.95141066,4.761755486,281.8432602,0.203365665,0.06211862,296.6144201,0.464912884,0.708648031,42.12332267,0.047417287,4.345455492,0.581056466,1.799903696,4.336395126,350.1730419,0.318918982,0.823560638,283.7413479,7.013722582,58.75409836,4.593806922,274.4007286,0.189820271,0.054146425,0.494499595,29.20881021,0.031533169,0.227686201,0.038776709,19.85638292,0.033777518,1.334836457
0,66.5342719,664.6529454,-25.47519791,13.53274595,1.098622284,0.828401811,0.288019374,0.768455269,1.005655124,0.898097035,0.896224074,0.99462594,0.980838655,-0.719680213,0.982676118,0.17669555,7.950163081,0.175740317,3.143343743,1,0.324842192,15.90032616,2.950646614,3.65784206,130.8584692,0.209722978,4.737372417,63.58581577,1.473710606,94.24671866,0.044707587,0.031976262,3.127259247,517.9524917,0.825448098,0.895773639,0.21748007,0.925469022,58.75741718,0.030298063,90.43589744,0.210806288,5.098059671,63.16317016,4.34965035,284.6200466,0.115860386,0.034869414,205.3496503,0.478670514,0.714420319,44.67812723,0.027732758,4.070783046,0.614613181,1.702392402,4.26394644,244.1604585,0.349800084,0.660060262,146.4985673,4.643828868,63.65616046,4.022922636,258.7106017,0.105408346,0.031269864,0.518132362,32.5356057,0.019125869,0.127083694,0.07916465,9.821456238,0.01484235,3.390663276
1,57.62102967,926.170062,-52.2825705,12.60517631,2.939832049,0.599573895,0.440971478,0.81621414,2.725987165,0.899157362,0.896055364,0.987100264,0.975010879,-0.712940551,0.975717966,0.142127132,7.423071986,0.268880308,2.790110266,0.991041423,0.480743489,14.84614397,2.594104082,3.886252089,153.6622007,0.267566986,4.200724218,61.63908752,1.426918591,84.58630025,0.060316828,0.040598741,2.866793793,460.4806096,0.801415586,0.888931889,0.160262343,0.915297458,56.76873996,0.038027531,91.4744898,0.23335329,4.637956841,63.95153061,4.785714286,264.3290816,0.211064431,0.04265155,200.3571429,0.51111516,0.742988175,49.02375471,0.033667454,3.866602566,0.606811146,2.069944815,3.978779607,211.7058824,0.327718084,0.851354849,179.9040248,4.074171611,61.06965944,4.417956656,253.3235294,0.155090744,0.039933098,0.526342879,34.08741271,0.02305105,0.190561288,0.054823972,17.49241141,0.032071079,1.643631378
0,53.02066412,754.9935424,-38.31871396,12.69619285,1.627093059,0.773324972,0.362108902,0.86213693,1.476590262,0.889314523,0.886230833,0.989534685,0.973417848,-0.683255184,0.981700557,0.175130841,7.086965025,0.169440861,3.266106049,0.989343323,0.329640092,14.17393005,2.994600741,3.580821477,237.2772772,0.215201327,3.922102329,53.6275982,1.4020884,75.40474479,0.069023506,0.053339527,3.056028849,895.5816047,0.811820892,0.893638574,0.149061805,0.920266474,49.4964962,0.049814276,153.5092348,0.202518779,4.280957387,53.7994723,4.002638522,215.5870712,0.172034214,0.057985895,356.8997361,0.470843979,0.710299874,38.38608388,0.044654709,4.079982802,0.614262561,1.352357614,4.165816725,428.3743922,0.347142943,0.728171815,269.6337115,3.82656775,53.52106969,4.153970827,217.9748784,0.179438085,0.052087767,0.516762336,27.86578111,0.031113599,0.493952081,0.031083189,9.856183736,0.026760018,0.88034133
1,69.53546884,1332.486927,-78.66224166,17.83380209,3.017584521,0.732471619,0.629537383,1.193727031,2.417014014,0.81296296,0.80487754,0.985709139,0.96041302,-0.602399509,0.979821696,0.274365925,8.108926018,0.106335364,3.819638887,0.984142288,0.212259582,16.21785204,3.392761881,5.212846653,72.34189201,0.169746783,5.515148476,65.73895735,1.333848779,89.33915745,0.048038937,0.040496896,3.315197042,354.7509852,0.830984652,0.906914894,0.115429847,0.928691533,60.78871994,0.038777691,51.53459119,0.162058463,6.034581306,64.76415094,3.446540881,238.1100629,0.09749264,0.045724566,176.9937107,0.556583996,0.774268845,49.36605026,0.03931333,4.113472031,0.676595745,1.262094063,4.393768189,172.5957447,0.367224989,0.764599366,80.79148936,5.344250792,66.15106383,3.808510638,265.1893617,0.099837646,0.038881974,0.587799645,37.71622754,0.028324273,0.18097864,0.051236861,26.53810768,0.034629091,2.262136128
